11:38:17.799 > Dispositivo iniciado, puedes conectarlo a Bluetooth
11:38:18.046 > t: 247 ms, ángulo: 12.92

11:38:18.062 > t: 249 ms, ángulo: 13.10

11:38:18.062 > t: 250 ms, ángulo: 13.18

11:38:18.062 > t: 252 ms, ángulo: 13.27

11:38:18.062 > t: 253 ms, ángulo: 13.36

11:38:18.062 > t: 255 ms, ángulo: 13.45

11:38:18.062 > t: 256 ms, ángulo: 13.54

11:38:18.078 > t: 258 ms, ángulo: 13.62

11:38:18.080 > t: 259 ms, ángulo: 13.71

11:38:18.080 > t: 261 ms, ángulo: 13.80

11:38:18.080 > t: 262 ms, ángulo: 13.89

11:38:18.080 > t: 274 ms, ángulo: 14.59

11:38:18.080 > t: 275 ms, ángulo: 14.68

11:38:18.080 > t: 277 ms, ángulo: 14.77

11:38:18.094 > t: 278 ms, ángulo: 14.85

11:38:18.094 > t: 280 ms, ángulo: 14.94

11:38:18.094 > t: 281 ms, ángulo: 14.94

11:38:18.094 > t: 283 ms, ángulo: 15.03

11:38:18.094 > t: 284 ms, ángulo: 15.12

11:38:18.104 > t: 286 ms, ángulo: 15.21

11:38:18.104 > t: 287 ms, ángulo: 15.29

11:38:18.109 > t: 289 ms, ángulo: 15.29

11:38:18.109 > t: 290 ms, ángulo: 15.38

11:38:18.109 > t: 302 ms, ángulo: 15.82

11:38:18.109 > t: 303 ms, ángulo: 15.91

11:38:18.109 > t: 305 ms, ángulo: 16.00

11:38:18.109 > t: 306 ms, ángulo: 16.00

11:38:18.109 > t: 308 ms, ángulo: 16.08

11:38:18.125 > t: 309 ms, ángulo: 16.08

11:38:18.130 > t: 311 ms, ángulo: 16.17

11:38:18.130 > t: 312 ms, ángulo: 16.17

11:38:18.130 > t: 314 ms, ángulo: 16.26

11:38:18.130 > t: 315 ms, ángulo: 16.26

11:38:18.130 > t: 316 ms, ángulo: 16.26

11:38:18.141 > t: 328 ms, ángulo: 16.52

11:38:18.141 > t: 330 ms, ángulo: 16.52

11:38:18.141 > t: 331 ms, ángulo: 16.61

11:38:18.141 > t: 333 ms, ángulo: 16.61

11:38:18.141 > t: 334 ms, ángulo: 16.61

11:38:18.151 > t: 336 ms, ángulo: 16.61

11:38:18.151 > t: 337 ms, ángulo: 16.61

11:38:18.157 > t: 338 ms, ángulo: 16.70

11:38:18.157 > t: 340 ms, ángulo: 16.70

11:38:18.157 > t: 341 ms, ángulo: 16.70

11:38:18.157 > t: 343 ms, ángulo: 16.70

11:38:18.157 > t: 344 ms, ángulo: 16.70

11:38:18.157 > t: 356 ms, ángulo: 16.61

11:38:18.157 > t: 358 ms, ángulo: 16.61

11:38:18.172 > t: 359 ms, ángulo: 16.61

11:38:18.172 > t: 361 ms, ángulo: 16.61

11:38:18.172 > t: 362 ms, ángulo: 16.61

11:38:18.180 > t: 364 ms, ángulo: 16.61

11:38:18.180 > t: 365 ms, ángulo: 16.52

11:38:18.180 > t: 366 ms, ángulo: 16.52

11:38:18.189 > t: 368 ms, ángulo: 16.52

11:38:18.189 > t: 369 ms, ángulo: 16.52

11:38:18.189 > t: 371 ms, ángulo: 16.44

11:38:18.189 > t: 372 ms, ángulo: 16.44

11:38:18.189 > t: 384 ms, ángulo: 16.17

11:38:18.199 > t: 386 ms, ángulo: 16.17

11:38:18.199 > t: 387 ms, ángulo: 16.08

11:38:18.204 > t: 389 ms, ángulo: 16.08

11:38:18.204 > t: 390 ms, ángulo: 16.00

11:38:18.204 > t: 392 ms, ángulo: 16.00

11:38:18.204 > t: 393 ms, ángulo: 15.91

11:38:18.204 > t: 394 ms, ángulo: 15.91

11:38:18.204 > t: 396 ms, ángulo: 15.82

11:38:18.204 > t: 397 ms, ángulo: 15.82

11:38:18.220 > t: 399 ms, ángulo: 15.73

11:38:18.220 > t: 400 ms, ángulo: 15.73

11:38:18.220 > t: 412 ms, ángulo: 15.29

11:38:18.220 > t: 414 ms, ángulo: 15.21

11:38:18.230 > t: 415 ms, ángulo: 15.12

11:38:18.230 > t: 417 ms, ángulo: 15.03

