13:14:55.712 > Dispositivo iniciado, puedes conectarlo a Bluetooth
13:15:01.531 > t: 5390 ms, ángulo: 22.59
13:15:01.531 > t: 5394 ms, ángulo: 22.85
13:15:01.531 > t: 5397 ms, ángulo: 23.20
13:15:01.531 > t: 5401 ms, ángulo: 23.47
13:15:01.547 > t: 5404 ms, ángulo: 23.73
13:15:01.549 > t: 5408 ms, ángulo: 24.08
13:15:01.549 > t: 5411 ms, ángulo: 24.35
13:15:01.555 > t: 5415 ms, ángulo: 24.61
13:15:01.555 > t: 5418 ms, ángulo: 24.87
13:15:01.563 > t: 5422 ms, ángulo: 25.22
13:15:01.563 > t: 5425 ms, ángulo: 25.49
13:15:01.563 > t: 5429 ms, ángulo: 25.75
13:15:01.563 > t: 5432 ms, ángulo: 26.02
13:15:01.579 > t: 5436 ms, ángulo: 26.28
13:15:01.580 > t: 5439 ms, ángulo: 26.54
13:15:01.580 > t: 5443 ms, ángulo: 26.81
13:15:01.580 > t: 5446 ms, ángulo: 27.07
13:15:01.590 > t: 5450 ms, ángulo: 27.25
13:15:01.597 > t: 5453 ms, ángulo: 27.51
13:15:01.597 > t: 5457 ms, ángulo: 27.77
13:15:01.597 > t: 5460 ms, ángulo: 27.95
13:15:01.597 > t: 5464 ms, ángulo: 28.21
13:15:01.597 > t: 5467 ms, ángulo: 28.39
13:15:01.614 > t: 5471 ms, ángulo: 28.65
13:15:01.614 > t: 5474 ms, ángulo: 28.83
13:15:01.614 > t: 5478 ms, ángulo: 29.00
13:15:01.614 > t: 5481 ms, ángulo: 29.18
13:15:01.628 > t: 5485 ms, ángulo: 29.36
13:15:01.632 > t: 5488 ms, ángulo: 29.53
13:15:01.633 > t: 5492 ms, ángulo: 29.71
13:15:01.633 > t: 5495 ms, ángulo: 29.88
13:15:01.633 > t: 5499 ms, ángulo: 30.06
13:15:01.645 > t: 5502 ms, ángulo: 30.15
13:15:01.647 > t: 5506 ms, ángulo: 30.15
13:15:01.647 > t: 5509 ms, ángulo: 30.15
